Time,X,Y,Z,u,v,w,p,q,r,phi (rad),theta (rad),psi (rad),u_p,u_q,u_r,t_x,t_y,t_z,Mx,My,Mz
35,21.6733646392822,54.3539428710938,29.9547634124756,-4.97543561329285,-4.93981463784823,1.78400707970611,-0.0227312538772821,0.0384366139769554,0.0338508076965809,0.179863556502973,-0.180846191560693,1.47257153986883,0.011979871429503,0.0321034528315067,0.00408750772476196,0,0,-0.363788634538651,0.664763208476379,-0.0682734834633317,0.232856928149333
35.1,22.1711044311523,53.7659568786621,29.9525184631348,-5.08294705584773,-5.00963900173637,1.79260403216987,-0.0126760005950928,0.0215987879782915,0.0331652648746967,0.176553944970611,-0.178480411214452,1.47657516858206,0.011979871429503,0.0321034528315067,0.00408750772476196,0,0,-0.362772315740585,0.755394080149972,-0.257017561607836,-0.0593212044073529
35.2,22.6444854736328,53.2093162536621,29.9512844085693,-5.18057020255047,-5.07531143664534,1.80466978604576,-0.0297219101339579,0.0202482882887125,0.0257454868406057,0.173935174798696,-0.177304263847437,1.47997375137311,0.0120122721418738,0.0420324951410294,0.00335503043606877,0,0,-0.362772315740585,-1.26778806858728,-0.0195684020344478,-0.65604948764773
35.3,23.16086769104,52.600715637207,29.9492416381836,-5.27700003798152,-5.14854229580285,1.80446121010616,-0.0370936580002308,0.0273975245654583,0.0268750246614218,0.170027864201555,-0.175507843270203,1.48303131915021,0.0120122721418738,0.0420324951410294,0.00335503043606877,0,0,-0.362230986356735,-0.544513155492041,0.110808871986371,0.10644241949981
35.4,23.6412906646729,52.0337409973145,29.9470310211182,-5.36130745947908,-5.20980262750725,1.79962794971252,-0.0205976702272892,0.0243233665823936,0.0204301793128252,0.166461932474956,-0.173517798682728,1.48589084839789,0.00680332072079182,0.0479305051267147,0.0044215302914381,0,0,-0.362230986356735,1.23425809811351,-0.0464328529833662,-0.569975793716003
35.5,24.1675815582275,51.411792755127,29.9451904296875,-5.44696930710308,-5.27006125862411,1.80552925925072,-0.0223118606954813,0.0140743609517813,0.0131478505209088,0.163631815735152,-0.171681215507518,1.48829174790164,0.00680332072079182,0.0479305051267147,0.0044215302914381,0,0,-0.361497044563293,-0.126516658635502,-0.156390291345117,-0.645536860278426
35.6,24.6637935638428,50.8242225646973,29.9453067779541,-5.52357647271968,-5.32564497472341,1.81206105446541,-0.0157306659966707,0.0202287044376135,0.0104020582512021,0.161589255109213,-0.170312224269853,1.49014377108726,0.0101319635286927,0.0572593547403812,0.00581589248031378,0,0,-0.361497044563293,0.4925058169229,0.0943954480979923,-0.242213941588121
35.7,25.2038536071777,50.1838302612305,29.9450149536133,-5.60076342079983,-5.38705666856634,1.81147263412218,-0.00882938131690025,0.0259060263633728,0.00840500555932521,0.159392030101642,-0.168420068818908,1.49131046748221,0.00339247658848763,0.0570814572274685,0.00534319970756769,0,0,-0.361235469579697,0.516438405686524,0.0869691471927647,-0.17618159058981
35.8,25.7053184509277,49.588794708252,29.9446468353271,-5.66658998210645,-5.44175171627116,1.80421639123808,-0.01860679872334,0.0278954058885574,0.0056917225010693,0.157153421123744,-0.165685225735112,1.4923904256662,0.00339247658848763,0.0570814572274685,0.00534319970756769,0,0,-0.361068367958069,-0.728226769907427,0.030588950506327,-0.238132931757092
35.9,26.2552013397217,48.9373092651367,29.9451599121094,-5.72932822854096,-5.49869058354375,1.80081442628846,-0.009091941639781,0.0260201022028923,-0.00171298487111926,0.155426409562127,-0.163004645416552,1.49291912138023,0.00463302992284298,0.0639524534344673,0.00513964472338557,0,0,-0.361068367958069,0.709480288208664,-0.0287144177233001,-0.656875606010973
