Time,X,Y,Z,u,v,w,p,q,r,phi (rad),theta (rad),psi (rad),u_p (controller),u_q (controller),u_r (controller),f_x (controller),f_y (controller),f_z (controller),u_p,u_q,u_r,f_x,f_y,f_z,backward_Mx,backward_My,backward_Mz,nominal_Mx,nominal_My,nominal_Mz
77.55,-20.244966506958008,7.348785400390625,26.175291061401367,-0.6745442748069763,-7.240368843078613,-1.6613761186599731,-0.11259547621011734,-0.08943518251180634,1.2485986948013306,-0.5103673105397422,0.5681620069343266,-1.61552245050313,0.007404275704175234,0.02376275137066841,-0.5298856496810913,0.0,0.0,-0.11999999731779099,2.1598107789246015,9.834670440903686,-4.413846975917581,0.0,0.0,240.76518288975282,-6.301907153046429,-22.969750598161,-11.990098967583036,2.155828590816456,10.083820218081993,-4.41308849739369
77.6,-20.279560089111328,6.849853038787842,26.060232162475586,-0.2957725524902344,-7.501261234283447,-1.7191052436828613,-0.16171519458293915,-0.1734851002693175,1.2432422637939453,-0.45910293494597654,0.6064244707930458,-1.503772520709921,0.007404275704175234,0.02376275137066841,-0.5298856496810913,0.0,0.0,-0.11999999731779099,2.5951091926370857,13.792185581006933,-4.393859745244537,0.0,0.0,243.5819438876191,-7.772468485155466,-61.30354148173546,-4.594938863919095,2.592257365856364,14.038562885409526,-4.376852274972648
77.65,-20.286813735961914,6.609117031097412,26.004770278930664,-0.11623959243297577,-7.618906497955322,-1.7444212436676025,-0.20287975668907166,-0.23385401070117937,1.2430046796798706,-0.44577537353134783,0.6136730580172844,-1.4743987328363095,0.015080951154232025,0.02655484899878502,-0.5299369096755981,0.0,0.0,-0.11999999731779099,2.4974494837278947,15.414612898863655,-4.422189699108314,0.0,0.0,245.69380438787118,-6.6697813542542725,-43.23700590358159,0.07108097909890748,2.4951130569661046,15.651744887748674,-4.395273808484785
77.7,-20.28171157836914,6.112377166748047,25.889616012573242,0.25030791759490967,-7.84725284576416,-1.7871226072311401,-0.24039192497730255,-0.35956463217735274,1.2273147106170654,-0.39155051654451306,0.6330499279628765,-1.35191069000875,0.015080951154232025,0.02655484899878502,-0.5299369096755981,0.0,0.0,-0.11999999731779099,3.4779967948637314,15.278964179720475,-4.617074976740546,0.0,0.0,250.10618506404626,-6.328494106545305,-91.73141489987398,-13.43408571404073,3.4769961656057102,15.516625473181882,-4.55572624166879
77.75,-20.264026641845703,5.761620998382568,25.808460235595703,0.5072685480117798,-7.993832111358643,-1.8097518682479858,-0.28103727102279663,-0.4312328696250914,1.2255958318710327,-0.37781436487365416,0.6351837629603538,-1.3201584842603677,0.016310978680849075,0.023495934903621674,-0.529735803604126,0.0,0.0,-0.11999999731779099,2.352348729786023,14.096929127066623,-4.681063903850199,0.0,0.0,250.9285916046971,-6.928587033676282,-50.99766451775172,-0.8069877775372309,2.3519668775444584,14.324591514734268,-4.603801033668009
77.8,-20.218008041381836,5.2407917976379395,25.68929100036621,0.8866749405860901,-8.187888145446777,-1.827095627784729,-0.31735938787460327,-0.5417628288269042,1.2119303941726685,-0.32427896986845234,0.6332122852137765,-1.1900795000694697,0.00018244842067360878,0.012851188890635967,-0.5305075645446777,0.0,0.0,-0.12000000476837158,3.1425242100544466,10.211245011880454,-4.986175010731656,0.0,0.0,254.79024687126997,-6.453303712411981,-79.73124863689004,-11.125569671453992,3.143533633274648,10.433447771785207,-4.872299558602673
77.85,-20.18160057067871,4.942732334136963,25.622314453125,1.1014561653137207,-8.285299301147461,-1.8280545473098755,-0.33979785442352295,-0.5925852060317992,1.2105189561843872,-0.3114756534688479,0.630297664806519,-1.157409444458126,0.0018999797757714987,0.007410790305584669,-0.5301772356033325,0.0,0.0,-0.12000000476837158,1.9441866090408944,6.157718762764947,-5.07583422795813,0.0,0.0,253.70474342557674,-4.429263503015203,-34.93280081840471,-0.05668124122430784,1.9457555722060353,6.374294617524771,-4.946619573466917
77.9,-20.103759765625,4.439036846160889,25.51119041442871,1.4625552892684937,-8.424966812133789,-1.8171865940093994,-0.36037707328796387,-0.6318386197090148,1.1852320432662964,-0.26336182349192183,0.6109277236269736,-1.027301675104957,0.0018999797757714987,0.007410790305584669,-0.5301772356033325,0.0,0.0,-0.12000000476837158,1.691024612589267,1.0989809360001317,-5.352036235639896,0.0,0.0,254.99799803310617,-4.191444304513246,-26.1743485641239,-21.125249676444543,1.6936562463627518,1.2993524851031504,-5.2045801713651505
77.95,-20.039785385131836,4.098607063293457,25.437541961669922,1.7006281614303589,-8.501304626464844,-1.8050801753997803,-0.350317120552063,-0.6404122114181517,1.18726646900177,-0.25228177240505484,0.6047009540923831,-0.9953501657237311,0.010596439242362976,0.007187153212726116,-0.5294700860977173,0.0,0.0,-0.12000000476837158,1.7674142399306483,-3.7924326232256558,-5.454175159092877,0.0,0.0,252.77351427213455,0.44943009401935097,-3.3391442963072797,3.143471281964856,1.770334030197857,-3.585770307573347,-5.299007625071302
78.0,-19.926349639892578,3.5839996337890625,25.32863426208496,2.0548250675201416,-8.590360641479492,-1.773978352546692,-0.3571268916130066,-0.6186003684997557,1.1684696674346924,-0.2107784636312695,0.5769246897388718,-0.8705679607169179,0.010596439242362976,0.007187153212726116,-0.5294700860977173,0.0,0.0,-0.12000000476837158,2.2154642233803656,-9.513080787624022,-5.698234138045394,0.0,0.0,253.31747500154782,-2.0614835901987894,19.368888259868818,-15.395889573951798,2.218950747310729,-9.323670772551734,-5.544571655865401
