Time,X,Y,Z,u,v,w,p,q,r,phi (rad),theta (rad),psi (rad),u_p,u_q,u_r,t_x,t_y,t_z,backward_Mx,backward_My,backward_Mz,nominal_Mx,nominal_My,nominal_Mz,central_Mx,central_My,central_Mz
2.7,8.69876956939697,-7.30452442169189,7.74715423583984,-4.80714049595044,0.0323584128800392,0.500447239202969,0.0177896190434694,1.60743093490601,-0.0112535897642376,0.00565745681808638,-0.101948168944585,-2.65651824889892,0.000845256145112216,-4.119414370507e-05,0.00186473212670535,0,0,-0.502893447875977,-0.350943201958828,4.87421969246146,-0.795078341925219,0.0854530038156246,42.1876017052334,-0.204606444214071,-0.672849846437269,4.50555800270316,-0.367343156651296
2.8,8.96959495544434,-7.16522359848022,7.74573040008545,-4.8215917088109,0.0280389786911695,-0.121168425584706,0.00623976998031139,1.87779760360718,-0.00866681989282393,0.00671195832732215,0.032301070730936,-2.65671203667309,0.000845256145112216,-4.119414370507e-05,0.00186473212670535,0,0,-0.502893447875977,-0.981399307596298,4.13668736404444,0.160481882630269,-0.115294118271439,20.1794634306126,-0.180470772673836,-0.0575278785180173,2.20893407053018,-0.158941375068966
2.9,9.23851776123047,-7.02667236328125,7.74626684188843,-4.69284999865889,0.0229941543720534,-0.63548848459481,0.0194585919380188,1.89617037773132,-0.013266175054014,0.0074375296298486,0.146152441017501,-2.65662986941905,0.000845256145112216,-4.119414370507e-05,0.00186473212670535,0,0,-0.503261268138885,0.800983846763677,0.281472585853771,-0.627680731187425,0.138850081951925,-4.36359884599556,-0.190172914064212,0.0515404610136215,-0.350483967605396,-0.520642370493001
3,9.40353870391846,-6.94148874282837,7.74739694595337,-4.54029626696238,0.018523959259703,-0.959245707537796,0.0125850979238749,1.83193445205688,-0.0154574681073429,0.0079522642914602,0.220942605608501,-2.65668015534342,0.000845256145112216,-4.119414370507e-05,0.00186473212670535,0,0,-0.503261268138885,-0.721176276639291,-0.982531479556715,-0.331522544043634,-0.245683273719557,-25.8086918197413,-0.193226856938637,-0.802207596021892,-2.18899622913138,-0.153772357235226
3.1,9.66251564025879,-6.8076114654541,7.74540996551514,-4.20862648922319,0.0152418208780751,-1.39319074786718,0.003539182478562,1.60999071598053,-0.0136498818174007,0.00837905723458147,0.331360733574021,-2.65679143574078,-0.000988622778095305,-0.000611078226938844,0.00124867213889956,0,0,-0.503261268138885,-0.836569999102153,-3.39567007949397,0.12690497914528,-0.139472198583393,-45.166332355988,-0.167881902122652,-0.0853086001143088,-4.31527606179759,0.120758847922213
3.2,9.90956878662109,-6.67987060546875,7.74162578582764,-3.82043679021763,0.00980739823192479,-1.65311241860498,0.0146343233063817,1.2678370475769,-0.0119805661961438,0.00871271260328452,0.416904800491238,-2.6571600981074,-0.000988622778095305,-0.000611078226938844,0.00124867213889956,0,0,-0.503788590431213,0.715903479991629,-5.23470040828035,0.038377310813226,0.32266455087168,-60.3588105500914,-0.15020313444841,0.0416069138694176,-6.97380340069577,-0.261390928306794
3.3,10.1668872833252,-6.54683017730713,7.73767280578613,-3.35250139439729,0.00363837899101093,-1.7761752490244,0.00765180820599198,0.69834965467453,-0.0170551929622889,0.00906116295623394,0.491342264597698,-2.65820823177783,-0.000988622778095305,-0.000611078226938844,0.00124867213889956,0,0,-0.503788590431213,-0.608556819020051,-8.71297049202271,-0.482822090586766,-0.179896921160385,-67.1269339091823,-0.128702212992733,-0.45516768173522,-5.2467224655325,-0.193062266906844
3.4,10.2732639312744,-6.49181365966797,7.73590707778931,-3.1684477318147,0.00228694842801269,-1.73614042785005,0.00478160241618752,0.581966578960419,-0.015611038543284,0.009072550805828,0.503995333043512,-2.65843455496238,-0.000863288820255548,0.00183450663462281,0.00271487375721335,0,0,-0.503788590431213,-0.280983707755012,-1.78055431496105,0.11188372234496,-0.0170740210449531,-66.1715743632264,-0.111390045373472,-0.3486599660328,-5.29266605261001,0.0063638555878678
3.5,10.4700632095337,-6.39002990722656,7.73291540145874,-2.80287193127241,-0.0034674496488286,-1.61557420105285,9.70197288552299e-05,0.00648392969742417,-0.0165407843887806,0.00886297630170972,0.526294005904336,-2.66006297802002,0.00207002810202539,-0.00273249065503478,-0.000126577157061547,0,0,-0.503788590431213,-0.350259223198731,-8.80488223888496,-0.082658136044416,-0.25982201213017,-56.2693894736548,-0.0838678424666834,-0.0319489437908434,-6.51858037257152,-0.149775518397589
3.6,10.6448030471802,-6.29964303970337,7.73146438598633,-2.48949969551268,-0.00612212409202672,-1.37692552660199,0.00394622469320893,-0.27013573050499,-0.0189804825931787,0.00817322004794539,0.517652858103581,-2.66159583740605,0.00207002810202539,-0.00273249065503478,-0.000126577157061547,0,0,-0.503788590431213,0.324887666406338,-4.23217369231072,-0.210567693769889,-0.0069192350758914,-34.4055011026104,-0.0716540288906519,0.0444818959967764,-3.39602500790872,-0.0435660645216279
